feature,importance,rank
peak_region_Kangchenjunga-Janak,0.16414174794108877,145
exp_rope_220.0,0.15486022254003776,146
peak_himal_Khumbu,0.14981729386409914,147
exp_rope_6700.0,0.14976695440960883,148
peak_phost_Nepal & India,0.14903551433148293,149
deputy_False,0.14803520712069615,150
peak_restrict_Requires permit for Jobo Rinjang,0.1448650958672406,151
occupation_group_military_police,0.14459403868836485,152
exp_rope_0.0,0.14273874470009826,153
exp_rope_300.0,0.14018120065144674,154
disabled_True,0.13977408212206907,155
peak_trekking_True,0.13605083801398457,156
exp_rope_70.0,0.1334409084182724,157
peak_himal_Jugal,0.1332160120045847,158
peak_restrict_Opened in 1997,0.13023213385472296,159
peak_himal_Kanjiroba,0.13021779687975243,160
exp_rope_6400.0,0.12695495570624932,161
exp_rope_1300.0,0.11879576156571467,162
peak_himal_Kanti/Palchung,0.1121134833599014,163
occupation_group_student,0.10873049359645438,164
sex_F,0.10730760241422307,165
exp_nohired_True,0.10527657071330475,166
exp_rope_100.0,0.10400877547987578,167
hired_False,0.1031144423563462,168
exp_rope_1000.0,0.10299728238871621,169
exp_rope_225.0,0.10135098637237586,170
exp_rope_800.0,0.08964326881382986,171
peak_restrict_Requires permit for Nuptse,0.08588188811452523,172
exp_tothired,0.08509504870445245,173
exp_rope_2800.0,0.08358680837503124,174
exp_parapente_True,0.0761386776168278,175
peak_himal_Saipal,0.07550107833915772,176
exp_rope_4575.0,0.07477422754797707,177
peak_restrict_Requires permit for Gimmigela Chuli,0.07280476810681286,178
exp_totmembers,0.07236232360242455,179
peak_open_True,0.071569334500498,180
exp_rope_1600.0,0.06684051143695734,181
exp_rope_400.0,0.0667604292349386,182
ref_n_unique_types,0.06134068618801981,183
occupation_group_other,0.06056008937322788,184
peak_himal_Rolwaling,0.05838086383051164,185
exp_rope_80.0,0.055733361531094955,186
leader_False,0.05243294215081393,187
exp_rope_6600.0,0.05141843096353251,188
occupation_group_scientist_academic,0.047636569726992255,189
peak_region_Manaslu-Ganesh,0.04704616595601794,190
occupation_group_engineer,0.04656304801083614,191
exp_rope_200.0,0.044201914027871,192
exp_rope_310.0,0.04316412198727821,193
peak_region_Annapurna-Damodar-Peri,0.042041496579003974,194
exp_rope_2000.0,0.041320752228368736,195
"peak_phost_Nepal, China & India",0.03857755211370226,196
ref_n_languages,0.037811284335414225,197
peak_himal_Dhaulagiri,0.03214621711387091,198
peak_trekking_False,0.028209878573457588,199
peak_himal_Kangchenjunga/Simhalila,0.027550613175555006,200
exp_rope_4000.0,0.02704869164526698,201
exp_traverse_False,0.025641524811880475,202
age_out_of_range_flag_False,0.02308872691986387,203
exp_ski_False,0.022887353224887177,204
exp_rope_8000.0,0.022401149566636698,205
peak_prev_death_rate,0.01962211533093217,206
disabled_False,0.015506026795172953,207
exp_rope_1400.0,0.012291950337467692,208
exp_rope_15.0,0.010353088720015403,209
tibetan_False,0.010255255455044158,210
ref_n_refs,0.010025972834376281,211
occupation_group_business_exec,0.007364977161931881,212
mseason_Autumn,0.006180392845685868,213
occupation_group_trades_manual,0.00558021226397724,214
support_False,0.005136353294419669,215
nottobc_False,0.004822010693970998,216
bconly_False,0.004819243572445047,217
occupation_missing_flag_True,0.0047503682566633525,218
peak_pstatus_Climbed,0.004476030430816921,219
deputy_True,0.004330793679802707,220
age_missing_flag_False,0.004117381336832177,221
sex_M,0.003702925030374472,222
