peak_region,members,summit_rate,death_rate
Khumbu-Rolwaling-Makalu,60302,0.4590560843753109,0.010115750721369108
Annapurna-Damodar-Peri,8959,0.30047996428172785,0.019310190869516686
Manaslu-Ganesh,7684,0.39263404476834984,0.01678813118167621
Dhaulagiri-Mukut,5721,0.2840412515294529,0.023247683971333682
Kangchenjunga-Janak,3723,0.3137254901960784,0.0204136449100188
Langtang-Jugal,1307,0.3259372609028309,0.019127773527161437
Kanjiroba-Far West,1304,0.2446319018404908,0.009202453987730062
