feature,importance,rank
exp_rope_1300.0,1.7911837628438976e-05,140
exp_rope_3000.0,1.642312826092421e-05,141
exp_rope_350.0,1.5427477861522325e-05,142
exp_rope_2300.0,1.5296702066616388e-05,143
peak_himal_Nalakankar/Chandi/Changla,1.3960766164054609e-05,144
exp_rope_6400.0,1.2509748678866471e-05,145
peak_restrict_Requires permit for Nuptse,7.854176913961482e-06,146
exp_rope_2200.0,7.583606032328601e-06,147
exp_rope_4500.0,7.226488832857698e-06,148
exp_rope_30.0,7.067741576551183e-06,149
exp_rope_2800.0,6.6903451064030285e-06,150
exp_rope_2500.0,6.637667536818638e-06,151
exp_rope_5400.0,6.366864133496627e-06,152
peak_restrict_Opened in 1997; converted to trekking peak in 2002,5.82927149684946e-06,153
exp_rope_450.0,4.881459367924722e-06,154
peak_restrict_Requires Jannu permit,2.2521440617731e-06,155
exp_rope_1700.0,2.0456120762485645e-06,156
exp_rope_8000.0,9.5284679374923e-07,157
peak_restrict_Requires permit for Jobo Rinjang,0.0,158
"peak_phost_Nepal, China & India",0.0,159
exp_rope_7800.0,0.0,160
exp_rope_7600.0,0.0,161
exp_rope_7500.0,0.0,162
exp_rope_7400.0,0.0,163
exp_rope_7100.0,0.0,164
exp_rope_8700.0,0.0,165
exp_rope_7900.0,0.0,166
exp_rope_6900.0,0.0,167
peak_himal_Kanti/Palchung,0.0,168
peak_restrict_Requires permit for Gimmigela Chuli,0.0,169
peak_restrict_Closed,0.0,170
peak_restrict_One permit for Kanjiroba's north and south summits,0.0,171
peak_restrict_Delisted in 2014,0.0,172
"peak_restrict_Opened in 2002, delisted in 2013?",0.0,173
peak_restrict_Opened in 2013?,0.0,174
peak_restrict_Opened in 2014 (as Khang Karpo),0.0,175
exp_rope_10.0,0.0,176
exp_rope_3.0,0.0,177
exp_rope_1.0,0.0,178
exp_host_Unknown,0.0,179
disabled_True,0.0,180
disabled_False,0.0,181
peak_restrict_Requires permit for Amphu I,0.0,182
exp_rope_235.0,0.0,183
exp_rope_120.0,0.0,184
exp_rope_130.0,0.0,185
exp_rope_160.0,0.0,186
exp_rope_140.0,0.0,187
exp_rope_220.0,0.0,188
exp_rope_210.0,0.0,189
exp_rope_180.0,0.0,190
exp_rope_190.0,0.0,191
exp_rope_280.0,0.0,192
exp_rope_270.0,0.0,193
exp_rope_225.0,0.0,194
exp_rope_80.0,0.0,195
exp_rope_113.0,0.0,196
exp_rope_110.0,0.0,197
exp_rope_90.0,0.0,198
exp_rope_20.0,0.0,199
exp_rope_60.0,0.0,200
exp_rope_70.0,0.0,201
exp_rope_75.0,0.0,202
exp_rope_73.0,0.0,203
exp_rope_25.0,0.0,204
exp_rope_40.0,0.0,205
exp_rope_45.0,0.0,206
exp_rope_15.0,0.0,207
exp_rope_1220.0,0.0,208
exp_rope_1150.0,0.0,209
exp_rope_1127.0,0.0,210
exp_rope_1067.0,0.0,211
exp_rope_1010.0,0.0,212
exp_rope_1050.0,0.0,213
exp_rope_850.0,0.0,214
exp_rope_820.0,0.0,215
exp_rope_750.0,0.0,216
exp_rope_370.0,0.0,217
exp_rope_455.0,0.0,218
exp_rope_457.0,0.0,219
exp_rope_480.0,0.0,220
exp_rope_470.0,0.0,221
exp_rope_510.0,0.0,222
exp_rope_550.0,0.0,223
exp_rope_310.0,0.0,224
exp_rope_320.0,0.0,225
exp_rope_315.0,0.0,226
exp_rope_420.0,0.0,227
exp_rope_1950.0,0.0,228
exp_rope_2100.0,0.0,229
exp_rope_2250.0,0.0,230
exp_rope_2050.0,0.0,231
exp_rope_2400.0,0.0,232
exp_rope_1900.0,0.0,233
exp_rope_1599.0,0.0,234
exp_rope_1750.0,0.0,235
exp_rope_1240.0,0.0,236
exp_rope_1550.0,0.0,237
exp_rope_1250.0,0.0,238
exp_rope_1450.0,0.0,239
exp_rope_3050.0,0.0,240
exp_rope_2950.0,0.0,241
exp_rope_2900.0,0.0,242
exp_rope_2750.0,0.0,243
exp_rope_2600.0,0.0,244
exp_rope_2700.0,0.0,245
exp_rope_2350.0,0.0,246
