model,valid_uncalibrated_mean_prob,valid_calibrated_mean_prob,valid_observed_rate,test_uncalibrated_mean_prob,test_calibrated_mean_prob,test_observed_rate
summit,0.5906064040374469,0.5285271135660647,0.5285255265976437,0.643580746822502,0.5745810445197844,0.6212107335836615
death_given_summit,0.016171856140157564,0.004079161969420633,0.00405295865982167,0.0062682037410945355,0.0027002392018401003,0.0030959752321981426
death_given_no_summit,0.13683877376024897,0.00982626977375833,0.009844010298349234,0.06338480249512683,0.007267239155812698,0.007736943907156673
