feature,mean_abs_shap
bconly,0.29777561938376174
exp_camps,0.2741402886084883
peakid,0.221352279163557
status,0.2145066188852891
myear,0.2073389288475451
exp_route1,0.1978227942271054
residence_clean,0.1942267885106931
exp_nation,0.19145473023495727
mseason,0.14573182358966116
peak_pkname,0.1393161003851917
exp_rope,0.13655522335775358
age_clean,0.13442776384334482
exp_tothired,0.13317356339630992
citizen_clean,0.11995254809561315
occupation_group,0.10365785325285343
peak_prev_summit_rate,0.08748970135455035
ref_n_refs,0.07145376632540872
peak_heightm,0.06235119940690699
exp_totmembers,0.0596537584566021
nottobc,0.05209532524113561
peak_prev_death_rate,0.03993297763310758
occupation_raw_clean,0.039870016950281834
ref_n_unique_types,0.030441592857768814
age_missing_flag,0.02339545804905482
sex,0.02136055532450886
leader,0.018461436451827257
ref_pubyear_min,0.01566029614770855
exp_host,0.014342933470113377
peak_himal,0.014158210293341666
ref_pubyear_max,0.01298152102617971
exp_nohired,0.012946202278223982
peak_phost,0.012513832115044216
peak_region,0.01190057168212811
peak_pstatus,0.010845962562639396
peak_restrict,0.010588804145446083
ref_n_languages,0.010204547905398542
exp_ski,0.009886330718810545
sherpa,0.008184296537525147
hired,0.006458813428888262
occupation_missing_flag,0.006167911315841269
support,0.0059010125358579055
peak_open,0.004634270943255761
exp_traverse,0.003527373697900399
age_out_of_range_flag,0.002044786469591518
tibetan,0.0014892611183312235
exp_parapente,0.0007958321211114388
peak_trekking,0.0003825853485055399
deputy,0.0003763063252316566
disabled,0.0
